reviewId,content,score,at,thumbsUpCount,appVersion
756b109e-dd4c-4a4b-9327-e6a15b359365,"Aplikasinya bagus,bisa memantau aktivitas kita sehari-hari,maaf memori penuh mau uninstall aja dah",5,2026-01-13,0,2025.11.20.00.arm64-v8a.release
90c09ce9-95a2-463f-81e8-53c90c9d4f18,like it,5,2026-01-13,0,2025.11.20.00.arm64-v8a.release
7e1510c4-ee58-4bcc-bd50-a1db14d28154,"Sering error, sdh 8900 langkah di Da vit watch, di sini cuma 7000. Kadang error kadang normal. Lagi ikutan aplikasi rekam aktivitas jln kaki di salah satu bank, malah sering nggak sinkron. Perbaiki please",2,2026-01-11,0,2025.11.20.00.arm64-v8a.release
acd64a23-aa64-4ef7-9d40-670a4570cb4d,tidak akuran sama sekali,2,2026-01-02,0,
272b2812-29b3-4f8d-bd39-dd5acfcb8983,mantap terbaik,5,2026-01-01,0,2025.11.20.00.arm64-v8a.release
996b1465-cd12-48f5-93e4-c1e91449e607,sering error tdk bisa record Langkah selama 1 Mingguan ... payah,1,2025-12-29,0,
72875d4e-8550-4b25-ad86-513e6207e434,Good Apls.,5,2025-12-24,0,2025.11.20.00.arm64-v8a.release
d60db0e6-3022-4d1c-afce-83722e5d6ab5,ok,4,2025-12-22,0,2025.11.20.00.arm64-v8a.release
3daddf36-58cf-488d-9e1c-e3349ee597df,Tanpa klik start.. Langsung ke detect lari nya,5,2025-12-14,2,2025.11.20.00.arm64-v8a.release
257f3b33-af26-4335-9c90-824b227eb0e2,Luar biasa..... mantap,5,2025-12-07,0,2025.11.20.00.arm64-v8a.release
bb517933-fc4a-4d25-a82c-beabca1549c7,Semoga kedepanya bisa import/export file *.gpx & cocok dengan semua jenis perangkat jam pintar.,4,2025-12-01,111,2025.10.23.01.arm64-v8a.release
33938f5c-95e2-4db1-9f2f-8db5bb72f129,mantabs,5,2025-11-28,0,2025.10.23.01.arm64-v8a.release
2fb8ae74-9102-4fd1-a099-52fbfcfd6650,"kilometer ga akurat, rendah bgt, kadang berhenti dan dari 0 lagi parah",1,2025-11-14,0,2025.09.25.01.arm64-v8a.release
a00f8eec-4536-483e-9e55-37b3b35aab8a,⭐⭐⭐⭐⭐,5,2025-11-03,0,
fdf2b749-4ddf-45e8-8d7a-d4b4b9be1320,top bagus,5,2025-11-01,0,2025.09.25.00.arm64-v8a.release
37961734-2591-4b7e-95c4-52e20d8ea8b9,Aku Suka Aplikasi Google Fif: Memantau Aktivitas by Google LLC!,5,2025-11-01,0,
1c1f71da-873a-40b1-817c-3c3db15907eb,bagus banget .....,5,2025-10-29,0,
76410ce6-0470-419d-83c0-51b3104260d7,"Bagua apk ini tapi mohon di benahi tampilan peta agak diperluas , sehingga tidak tertutupi, tampilan hitungan waktu, hitungan jarak, mohon di perkecil. terkash.",4,2025-10-26,0,2.32.30-130
d0916e7b-c5bc-42c5-a2c5-b6661b71d426,tolong tambahkan fitur tracking saat kita lari atau sedang bersepeda,4,2025-10-26,0,2024.11.21.00.arm64-v8a.release
3680147a-07f8-4142-a82d-72bdfd8727f1,jarak nkilometernya bisa berkurang,3,2025-10-25,0,
e3d880fe-e744-4b7a-a0f0-1548eb407fee,"Aplikasi ini sangat membantu dalam me-track olahraga saya dalam berlari ataupun berjalan, ada fitur poin yang membantu mengukur seberapa fit saya.",5,2025-10-25,8,2025.09.25.00.arm64-v8a.release
1116977e-b2eb-45f0-9a74-3fadb7052392,sering ga kerekam 🥲,5,2025-10-20,0,2025.09.25.00.arm64-v8a.release
826dcda9-0466-46a2-85ac-e481b7000de1,tidak bisa catat siklus mens di bulan sebelumnya,1,2025-10-15,0,
f768be7a-5f67-444e-b8ba-4282c2300742,sudah keren cuman yang masih kurang2 harus tetap di benahi,5,2025-10-11,2,2025.08.28.01.arm64-v8a.release
9fced0e7-de15-4c55-a691-334be9869d7e,luar biasa aplikasinya,5,2025-10-10,0,2025.09.25.00.arm64-v8a.release
62a5af08-39a0-4781-8bb2-0f1bc6dbc9d0,sering ngehag sndiri,3,2025-10-09,0,
e0739b22-73fc-46b4-8152-428305546ced,mantap,5,2025-10-07,0,2025.08.28.00.arm64-v8a.release
1de12915-8574-4674-ac6a-e6332cf87964,"aplikasinya sering eror/kurang akurat, cth: di tgl 28 Oktober saya cek langkah saya ada 62.570, tp pas seminggu kemudian saya mau cek langkah saya yg tgl 28 Oktober tadi berubah jd 62.503. berarti data yg diliat dihari yg sama bisa berubah dong dikemudian hari 🤦🏻‍♀️",3,2025-10-02,2,2025.08.28.00.arm64-v8a.release
608c9fd3-877b-444a-a8ac-afbf9a529890,manfaat bgt,5,2025-09-26,0,2025.08.28.00.arm64-v8a.release
7b6b84a6-0364-4fb4-b2e1-2805e094d62c,Cukup baik,5,2025-09-23,0,
5bf349a2-b504-4369-a29f-1d224fce9985,"aplikasi masih kurang akurat, dimana langkah sebelumnya sudah ribuan tiba tiba kereset jadi 0, padahal masihdi hari yang sama",1,2025-09-23,1,
3677edda-80ca-4f29-958d-17379948e47f,ok,5,2025-09-23,0,
17aa3fe3-bbeb-4595-ba66-c97b9a8e075f,Tolong dong keakuratan kilometer kok tiba tiba berhenti padahal sinyal bagus,3,2025-09-21,3,2025.08.28.00.arm64-v8a.release
95729596-76a5-4e30-b30f-0df7d5ce96ae,berguna untuk meningkatkan kebugaran jasmani dan rohani...,5,2025-09-20,1,2025.07.03.00.arm64-v8a.release
99490438-ec0f-40db-b794-b7834f84138f,"ini app yg konyol dan tidak berguna, menghitungnya ngawur ga jelas, perbaiki lagi..ini yg buat anak anak magang bukan?..buruk ga jelas sama sekali",1,2025-09-20,0,2025.08.28.00.arm64-v8a.release
